SPP,year,RDST,chan,code,tagdate,julian,WQMT ,PIT,Fate,,,fatereach,origin,reaches,rand,n,ttp,Tmean,Tstd,Tmax,Tmin,max-min,DD,n >=20,DDT20,% >=20
SP,2002,3816A,25,443,4/29/02,119,10.2,SNKTRP,Salmon,SAL-911,sal,8,SNRfish,0,0.788654898,1111,23.14583333,11.15,0.61,13.30,10.32,2.98,258,0,0.00,0.0
SP,2002,3820A,24,367,4/25/02,115,9.9,LGRRRR,GrandeRonde,LGH-GRR,lok,8,SNRfish,0,0.826969822,1050,21.875,10.59,0.43,12.66,9.85,2.81,232,0,0.00,0.0
SP,2002,3828A,24,386,4/26/02,116,9.8,MARTRP,Salmon,KNP-MFS,mfs,8,SNRfish,0,0.512334174,712,14.83333333,10.27,0.41,12.55,9.21,3.34,152,0,0.00,0.0
SP,2002,3832A,25,371,4/12/02,102,8.8,BONAFF,Salmon,LIT,lit,8,SNRfish,0,0.415260765,1148,23.91666667,10.00,0.46,11.66,9.00,2.66,239,0,0.00,0.0
SP,2002,3860A,25,343,4/18/02,108,9.9,LGRRBR,Clearwater,KFH-CWR,kfh,8,SNRfish,0,0.64324281,959,19.97916667,10.26,0.37,11.98,9.44,2.54,205,0,0.00,0.0
SP,2002,3870A,24,426,4/26/02,116,9.8,SAWTRP,Salmon,SAW-SAL,saw,8,SNRfish,0,0.606436571,712,14.83333333,10.24,0.45,12.78,9.14,3.64,152,0,0.00,0.0
SP,2002,4734A,24,466,5/30/02,150,14,BONAFF,GR-dam,GRT-H,grt,8,SNRfish,0,0.540592023,942,19.625,14.71,0.39,17.54,13.33,4.21,289,0,0.00,0.0
SP,2002,4870A,25,477,5/19/02,139,12.6,LGRRRR,Salmon,SFSW-SFS,sfs,8,SNRfish,0,0.373334292,563,11.72916667,12.87,0.63,14.92,11.18,3.74,151,0,0.00,0.0
SP,2002,4877A,25,501,5/16/02,136,11.9,LGRRRR,Salmon,SFSW-SFS,sfs,8,SNRfish,0,0.600362529,949,19.77083333,12.70,0.57,14.60,11.23,3.37,251,0,0.00,0.0
SP,2002,4879A,24,506,5/13/02,133,11.5,BONAFF,Clearwater,CLC-CWR,clc,8,SNRfish,0,0.544892478,1919,39.97916667,13.34,1.13,16.30,11.16,5.14,533,0,0.00,0.0
SP,2002,4880A,25,503,5/20/02,140,12.7,BONAFF,Salmon,SALSFW,sfs,8,SNRfish,0,0.603982272,906,18.875,13.57,0.55,15.62,12.57,3.05,256,0,0.00,0.0
SP,2002,4885A,24,473,5/29/02,149,13.7,LGRRRR,Salmon,SFSW-SFS,sfs,8,SNRfish,0,0.289651179,614,12.79166667,13.70,0.85,15.53,11.31,4.22,175,0,0.00,0.0
SP,2002,4886A,24,480,5/5/02,125,10.4,LEMHIW,Salmon,LEM-SAL,lem,8,SNRfish,0,0.969659631,801,16.6875,11.35,0.61,13.01,10.27,2.74,189,0,0.00,0.0
SP,2002,4887A,25,511,5/21/02,141,12.8,LOSTIP,GrandeRonde,LOSW-LOS,los,8,SNRfish,0,0.17957121,753,15.6875,13.04,0.53,14.10,11.29,2.81,205,0,0.00,0.0
SP,2002,4888A,25,479,5/15/02,135,11.2,LGRRRR,Salmon,USR-SAL,sal,8,SNRfish,0,0.510929171,1045,21.77083333,12.86,0.50,14.79,11.67,3.12,280,0,0.00,0.0
SP,2002,4891A,24,475,5/29/02,149,13.7,BONAFF,Salmon,SFS,sfs,8,SNRfish,0,0.106285285,1141,23.77083333,14.50,0.44,15.87,13.11,2.76,345,0,0.00,0.0
SP,2002,4893A,24,508,5/8/02,128,10.5,LOLOC,Clearwater,CWR,cwr,8,SNRfish,0,0.339948331,759,15.8125,11.56,0.73,13.39,9.42,3.97,183,0,0.00,0.0
SP,2002,4894A,25,480,5/14/02,134,11.4,BONAFF,Salmon,SFSW-SFS,sfs,8,SNRfish,0,0.342217481,797,16.60416667,12.53,0.58,13.68,10.76,2.92,208,0,0.00,0.0
SP,2002,4896A,25,475,5/19/02,139,12.6,SALTRP,Salmon,CAM-MFS,mfs,8,SNRfish,0,0.158987874,960,20,13.34,1.39,17.75,11.30,6.45,267,0,0.00,0.0
SP,2002,4897A,24,509,5/13/02,133,11.5,BONAFF,Salmon,SFS,sfs,8,SNRfish,0,0.277396201,1103,22.97916667,12.33,0.88,17.78,10.49,7.29,283,0,0.00,0.0
SP,2002,4900A,25,466,5/6/02,126,10.3,SAWTRP,Salmon,SAW-SAL,saw,8,SNRfish,0,0.706019345,859,17.89583333,11.34,0.74,14.58,9.42,5.16,203,0,0.00,0.0
SP,2002,4903A,25,462,5/13/02,133,11.5,LGRRRR,GR-dam,GRT-H,grt,8,SNRfish,0,0.192528848,894,18.625,12.05,0.78,14.55,10.35,4.20,224,0,0.00,0.0
